Day,Season,Temp,Sun,Rain,Wind,AvgChlorophyll
0,Spring,-5.6,29,75,29,0.0
1,Spring,-5.4,29,75,28,0.0
2,Spring,-5.2,30,75,28,0.0
3,Spring,-5.0,30,75,28,0.0
4,Spring,-4.8,30,75,27,0.0
5,Spring,-4.6,31,75,27,0.0
6,Spring,-4.4,31,74,27,0.0
7,Spring,-4.2,32,74,26,0.0
8,Spring,-4.0,32,74,26,0.0
9,Spring,-3.8,32,74,26,0.0
10,Spring,-3.6,33,74,25,0.0
11,Spring,-3.4,33,73,25,0.0
12,Spring,-3.2,34,73,25,0.0
13,Spring,-3.0,34,73,25,0.0
14,Spring,-2.7,35,72,24,0.0
15,Spring,-2.5,35,72,24,0.0
16,Spring,-2.3,35,71,24,0.0
17,Spring,-2.1,36,71,24,0.0
18,Spring,-1.8,36,70,23,0.0
19,Spring,-1.6,37,70,23,0.0
20,Spring,-1.4,37,69,23,0.0
21,Spring,-1.1,38,69,23,0.0
22,Spring,-0.9,38,68,22,0.0
23,Spring,-0.7,39,67,22,0.0
24,Spring,-0.4,39,67,22,0.0
25,Spring,-0.2,40,66,22,0.0
26,Spring,0.0,40,66,22,0.0
27,Spring,0.3,41,65,22,0.0
28,Spring,0.5,41,64,21,0.0
29,Spring,0.8,42,64,21,0.0
30,Spring,1.0,42,63,21,0.0
31,Spring,1.3,43,62,21,0.0
32,Spring,1.5,43,61,21,0.0
33,Spring,1.8,44,60,21,0.0
34,Spring,2.0,44,60,21,0.0
35,Spring,2.3,45,59,20,0.0
36,Spring,2.6,45,58,20,0.0
37,Spring,2.8,46,57,20,0.0
38,Spring,3.1,46,56,20,0.0
39,Spring,3.3,47,56,20,0.0
40,Spring,3.6,47,55,20,0.0
41,Spring,3.8,48,54,20,0.0
42,Spring,4.1,48,53,20,0.0
43,Spring,4.4,49,52,20,0.0
44,Spring,4.6,49,51,20,0.0
45,Spring,4.9,50,50,20,0.0
46,Spring,5.1,50,50,20,0.0
47,Spring,5.4,51,49,20,0.0
48,Spring,5.7,51,48,20,0.0
49,Spring,5.9,52,47,20,0.0
50,Spring,6.1,52,46,20,0.0
51,Spring,6.4,53,45,20,0.0
52,Spring,6.6,53,45,20,0.0
53,Spring,6.9,54,44,20,0.0
54,Spring,7.2,54,43,20,0.0
55,Spring,7.4,55,42,20,0.0
56,Spring,7.7,55,41,20,0.0
57,Spring,7.9,56,40,21,0.0
58,Spring,8.2,56,40,21,0.0
59,Spring,8.4,57,39,21,95.0
60,Spring,8.7,57,38,21,89.0
61,Spring,8.9,58,37,21,88.9
62,Spring,9.2,58,37,21,86.3
63,Spring,9.4,59,36,21,85.0
64,Spring,9.7,59,35,22,81.4
65,Spring,9.9,60,34,22,79.4
66,Spring,10.2,60,34,22,81.2
